1542883285 0 1 0 0
1542924700 1 1 0 0
1542924742 1 2 0 0
1542926259 2 2 0 0
1542979281 3 2 0 0
1543218239 3 2 0 1
1543238640 3 3 0 1
1543238693 4 3 0 1
1543238703 5 3 0 1
1543239161 6 3 0 1
1543239194 7 3 0 1
1543239977 8 3 0 1
1543240475 9 3 0 1
1543261969 10 3 0 1
1543309986 10 3 0 2
1543310038 10 3 0 3
1543310402 10 3 0 4
1543313275 10 4 0 4
1543388469 11 4 0 4
1543388499 11 5 0 4
1543826731 12 5 0 4
1543827054 13 5 0 4
1543848763 14 5 0 4
1543869542 15 5 0 4
1543999502 15 6 0 4
1543999515 15 7 0 4
1543999718 16 7 0 4
1544001404 17 8 0 4
1544001543 17 9 0 4
1544005011 18 9 0 4
1544013840 19 9 0 4
1544013890 19 10 0 4
1544013913 19 11 0 4
1544478658 20 11 0 4
1544537077 21 11 0 4
1544540011 21 12 0 4
1544540029 21 13 0 4
1544555661 21 13 1 4
1544556044 21 14 1 4
1544557661 22 14 1 4
1544557700 23 14 1 4
1544791636 24 14 1 4
1545050158 24 14 2 4
1545052128 24 15 2 4
1545052139 24 16 2 4
1545052175 25 16 2 4
1545052561 25 17 2 4
1545056176 25 17 3 4
1545056734 25 18 3 4
1545061165 26 18 3 4
1545061197 26 19 3 4
1545062634 26 19 4 4
1545062697 26 20 4 4
1545122061 27 20 4 4
1545122173 27 21 4 4
1545122693 28 21 4 4
1545214903 29 21 4 4
1545214946 29 22 4 4
1545214966 29 23 4 4
1545215002 30 23 4 4
1545215034 30 24 4 4
1545215064 31 24 4 4
1545226331 32 24 4 4
1546430966 32 25 4 4
1546432514 32 25 5 4
1546434159 32 26 5 4
1546603742 33 26 5 4
1546864561 33 27 5 4
1546864621 34 27 5 4
1548842795 35 27 5 4
1548842974 35 28 5 4
1548845684 36 28 5 4
1548845718 36 29 5 4
1548943464 37 29 5 4
1548943502 38 29 5 4
1548943530 38 30 5 4
1548943537 38 31 5 4
