1546449247 0 676 0
1546954352 417 676 0
1546955536 435 676 0
1546955593 611 676 0
1546957579 614 676 0
1546958171 615 676 0
1546958200 640 676 0
1546960153 641 676 0
1546960265 646 676 0
1547035956 788 676 0
1547037752 802 676 0
1547040610 805 676 0
1547041920 821 676 0
1547104649 823 676 0
1547219976 835 676 0
1547219995 883 676 0
1547220356 885 676 0
1547220903 885 676 0
1547222683 895 676 0
1547451257 1409 676 0
1547451753 1410 676 0
1547455070 1424 676 0
1547456486 1433 676 0
1547457013 1440 676 0
1547476163 1452 676 0
1547476594 1455 676 0
1547482166 1458 676 0
1547482898 1460 676 0
1547539108 1466 676 0
1547553532 1473 676 0
1547557481 1480 676 0
1547557986 1482 676 0
1547560473 1497 676 0
1547655259 1497 676 0
1547670382 1499 676 0
1548163499 1543 676 0
1548244549 1550 676 0
1548245488 1550 676 96
1548314053 1550 676 96
1548314072 1553 676 96
1549975297 1559 676 96
1549979416 1559 676 96
1549984819 1651 676 96
1549985263 1670 676 96
1550248945 1896 676 96
1550502893 1907 676 96
1550586885 1908 676 96
1550650765 1908 676 96
1550658141 2003 676 96
1550662488 2004 676 96
1550663118 2004 676 96
