1543936551 1 0 0
1544050524 1 1 0
1544050934 1 2 0
1544051345 1 3 0
1544540100 2 3 0
1544569735 2 4 0
1544570144 2 5 0
1544571814 3 5 0
1544571827 4 5 0
1544576841 4 6 0
1544576873 5 6 0
1544628311 5 7 0
1546858053 5 8 0
1546858977 5 9 0
1546859670 5 10 0
1546859818 6 10 0
1546859828 7 10 0
1546859835 8 10 0
1546860293 8 11 0
1546884224 9 11 0
1547480389 9 12 0
1547480542 10 12 0
1547737236 10 13 0
1548151029 11 13 0
1548151053 11 14 0
1548151672 11 15 0
1548935387 11 16 0
1548956203 12 16 0
1548956272 13 16 0
1548956283 14 16 0
1548956329 15 16 0
1548956436 16 16 0
1548956492 17 16 0
1548956546 18 16 0
1548956678 19 16 0
1549035289 19 17 0
1549035795 20 17 0
1550069522 20 18 0
1550071162 20 18 1
1550150832 20 19 1
1550474550 20 19 2
1550490098 21 19 2
1550490134 22 19 2
1550492887 23 19 2
1550492903 24 19 2
