1541064297 1 0 0 0 0
1541065414 2 0 0 0 0
1541092017 3 0 0 0 0
1541482715 4 0 0 0 0
1541505271 5 0 0 0 0
1541512323 5 0 0 0 1
1541513498 5 0 0 0 2
1541516182 5 0 0 0 3
1541516202 5 0 0 0 4
1541516244 6 0 0 0 5
1542319303 6 1 0 0 5
1542322375 7 1 0 0 5
1542355883 8 1 0 0 5
1542356441 8 1 1 0 5
1542359669 9 1 1 0 5
1542359988 10 1 1 0 5
1542360938 11 1 1 0 5
1542365902 12 1 1 0 5
1542383795 12 1 2 0 5
1542458205 13 1 2 0 5
1542458554 13 2 2 0 5
1542635691 14 2 2 0 5
1542640659 15 2 2 0 5
1542652395 15 3 2 0 5
1542663856 15 4 2 0 5
1542663919 15 5 2 0 5
1542862272 15 6 2 0 5
1542862532 16 6 2 0 5
1542862844 16 7 2 0 5
1542881031 17 7 2 0 5
1542882324 17 7 3 0 5
1542902433 18 7 3 0 5
1542902473 18 8 3 0 5
1542923152 19 8 3 0 5
1542924139 20 9 3 0 5
1543224319 21 9 3 0 5
1543226001 21 9 4 0 5
1543228182 22 9 4 0 5
1543229287 22 9 5 0 5
1543311896 22 9 5 0 6
1543316882 22 9 5 0 7
1543318125 22 9 5 1 7
1543318275 22 9 5 2 7
1543318408 22 9 5 3 7
1543318555 22 9 5 4 7
1543319112 22 9 6 4 7
1543319451 22 9 7 4 7
1543319573 22 9 8 4 7
1543319581 22 9 9 4 7
1543324220 22 9 9 5 7
1543324499 22 9 10 5 7
1543328272 22 9 10 5 8
1543328979 22 9 10 5 9
1543389809 22 9 10 6 9
1543390122 22 9 11 6 9
1543396172 22 9 11 7 9
1543396359 22 9 12 7 9
1543830492 23 9 12 7 9
1543830566 23 10 12 7 9
1543865442 23 10 12 8 9
1543866542 24 11 12 8 9
1543926208 24 12 12 8 9
1543926271 25 12 12 8 9
1543926323 25 13 12 8 9
1543928436 26 13 12 8 9
1543928501 26 14 12 8 9
1543930462 27 14 12 8 9
1543932373 27 15 12 8 9
1544014607 28 15 12 8 9
1544014758 29 15 12 8 9
1544115786 29 15 12 9 9
1544120395 29 15 13 9 9
1544173381 29 15 13 9 10
1544173557 29 15 14 9 10
1544201297 29 15 14 10 10
1544201669 29 15 15 10 10
1544458162 29 15 15 11 10
1544459428 29 15 16 11 10
1544569061 30 15 16 11 10
1544570186 30 16 16 11 10
1544573461 31 16 16 11 10
1544573619 31 17 16 11 10
1544575762 32 17 16 11 10
1544575794 32 18 16 11 10
1544589702 32 18 16 12 10
1544590562 32 18 17 12 10
1544626100 33 18 17 12 10
1544626345 34 18 17 12 10
1544626398 34 19 17 12 10
1544627401 35 19 17 12 10
1544789706 35 19 17 13 10
1544790324 35 19 18 13 10
1545051546 35 19 18 14 10
1545052308 35 19 19 14 10
1545057566 35 19 19 15 10
1545058150 35 19 20 15 10
1545064446 35 19 20 16 10
1545064954 35 19 21 16 10
1546617667 35 19 21 16 11
1546617713 35 19 21 16 12
1546618297 35 19 22 16 12
1546853345 36 19 22 16 12
1547024371 36 20 22 16 12
1547024388 36 21 22 16 12
1547025383 36 21 23 16 12
1547112562 37 21 23 16 12
1547112600 37 22 23 16 12
1547112641 38 22 23 16 12
1547112709 38 23 23 16 12
1547557206 39 23 23 16 12
1547559311 39 24 23 16 12
1547559350 39 25 23 16 12
1547633306 39 25 23 17 12
1547635618 39 25 24 17 12
1548182583 39 25 24 18 12
1548183302 39 25 25 18 12
1549018452 40 25 25 18 12
1549019012 40 26 25 18 12
